법률규정	항목	내용
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제3조(특허등록원부의 기록) ⑥	특허등록원부의 순위번호란에는 등록사항란에 등록사항을 기록한 순위번호를 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제3조(특허등록원부의 기록) ⑦	특허료란에는 해당 연수, 특허료 및 납부연월일을 기록하여야 하며, 「특허법」 제83조에 따른 특허료 납부가 면 제되거나 감면될 때에는 그 사항도 기록하여야 한다. 특허권 등의 등록령 시행규칙
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제3조(특허등록원부의 기록) ⑧	특허등록원부의 매수는 그 특허등록원부 중앙의 아랫부분에 숫자로 표기하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제4조(실용신안등록원부의 기록) ①	제2조제2항에 따른 실용신안등록원부의 실용신안등록번호란에는 실용신안등록번 호를 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제4조(실용신안등록원부의 기록) ②	"권리란 중 등록사항란에는 실용신안권의 표시를 하고, 그 밖에  다음 각 호의 사항을 기록하며, 표시번호란에는 등록사항란에 기록한 등록사항의 순위를 기록하여야 한다.<개정 2016. 9. 22., 2017. 11. 28.>
1. 「실용신안법」 제28조에 따라 준용되는 「특허법」 제106조제1항에 따른 실용신안권의 수용ㆍ실시
2. 「실용신안법」 제30조의3에 따라 준용되는 「특허법」 제132조의13에 따른 실용신안등록취소결정 또는 기각결정
3. 「실용신안법」 제31조제1항, 제31조의2제1항, 제32조제1항ㆍ제3항 및 제33조에 따라 준용되는 「특허법」 제 132조의17(실용신안권의 존속기간의 연장등록거절결정에 대한 심판만 해당한다) 및 제135조부터 제137조까지의 규정에 따른 심판의 확정심결
4. 「실용신안법」 제33조에 따라 준용되는 「특허법」 제178조제1항에 따른 재심(특허거절결정 불복심판에 대한 재 심은 제외한다)의 확정심결
5. 「실용신안법」 제33조에 따라 준용되는 「특허법」 제186조제1항에 따른 특허법원의 확정판결
6. 「실용신안법」 제33조에 따라 준용되는 「특허법」 제186조제8항에 따른 대법원의 판결"
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제4조(실용신안등록원부의 기록) ③	실용신안권자란의 등록사항란에는 실용신안권자, 실용신안권의 이전, 실용신안권 처분의 제한 또는 실용신안권 을 목적으로 하는 질권에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제4조(실용신안등록원부의 기록) ④	전용실시권자란의 등록사항란에는 전용실시권과 전용실시권을 목적으로 하는 질권에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제4조(실용신안등록원부의 기록) ⑤	통상실시권자란의 등록사항란에는 통상실시권과 통상실시권을 목적으로 하는 질권에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제4조(실용신안등록원부의 기록) ⑥	실용신안등록원부의 순위번호란에는 등록사항란에 등록사항을 기록한 순위번호를 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제4조(실용신안등록원부의 기록) ⑦	실용신안등록료란에는 해당 연수, 실용신안등록료 및 납부연월일을 기록하여야 하며, 「실용신안법」 제20조에 따라 준용되는 「특허법」 제83조에 따른 실용신안등록료 납부가 면제되거나 감면될 때에는 그 사항도 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제4조(실용신안등록원부의 기록) ⑧	실용신안등록원부의 매수는 그 실용신안등록원부 중앙의 아랫부분에 숫자로 표기하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제5조(디자인등록원부의 기록) ①	제2조제3항에 따른 디자인등록원부의 디자인등록번호란에는 디자인등록번호를 기록 하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제5조(디자인등록원부의 기록) ②	"권리란 중 등록사항란에는 디자인권의 표시를 하고, 그 밖에 다음 각 호의 사항을 기록하며, 표시번호란에는 등 록사항란에 기록한 등록사항의 순위를 기록하여야 한다.<개정 2014. 6. 25., 2016. 9. 22.>
1. 「디자인보호법」 제68조제1항에 따른 디자인일부심사등록 이의신청의 확정결정
2. 「디자인보호법」"
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제120조(디자인등록취소결정에 대한 심판의 확정심결만 해당한다) ③	디자인권자란의 등록사항란에는 디자인권자, 디자인권의 이전, 디자인권 처분의 제한 또는 디자인권을 목적으로 하는 질권에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제120조(디자인등록취소결정에 대한 심판의 확정심결만 해당한다) ④	전용실시권자란의 등록사항란에는 전용실시권과 전용실시권을 목적으로 하는 질권에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제120조(디자인등록취소결정에 대한 심판의 확정심결만 해당한다) ⑤	통상실시권자란의 등록사항란에는 통상실시권과 통상실시권을 목적으로 하는 질권에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제120조(디자인등록취소결정에 대한 심판의 확정심결만 해당한다) ⑥	디자인등록원부의 순위번호란에는 등록사항란에 기록한 등록사항의 순위번호를 기록하여야 한다. 특허권 등의 등록령 시행규칙
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제120조(디자인등록취소결정에 대한 심판의 확정심결만 해당한다) ⑦	등록료란에는 해당 연수, 등록료 및 납부연월일을 기록하여야 하며, 「디자인보호법」 제86조에 따라 등록료 납부 가 면제되거나 감면될 때에는 그 사항도 기록하여야 한다.<개정 2014. 6. 25.>
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제120조(디자인등록취소결정에 대한 심판의 확정심결만 해당한다) ⑧	디자인등록원부의 매수는 그 디자인등록원부 중앙의 아랫부분에  숫자로 표기하여야 한다.  제5조의2(국제등록디자인권에 관한 디자인등록원부의 기록)
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제120조(디자인등록취소결정에 대한 심판의 확정심결만 해당한다) ①	제2조제6항에 따른 국제등록디자인권에 관한 디자인등 록원부의 국제등록번호란에는 국제등록번호를 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제120조(디자인등록취소결정에 대한 심판의 확정심결만 해당한다) ②	"권리란 중 등록사항란에는 다음 각 호의 사항을 기록하고, 표시번호란에는 등록사항란에 기록한 등록사항의 순 위를 기록하여야 한다.
1. 국제등록디자인권의 표시
2. 「디자인보호법」 제68조제1항에 따른 디자인일부심사등록 이의신청의 확정결정
3. 「디자인보호법」"
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제120조(디자인등록취소결정에 대한 심판만 해당한다) ③	국제등록사항기록란의 등록사항란에는 국제등록디자인권에 관하여 「산업디자인의 국제등록에 관한 헤이그협정 」 제14조에 따른 국제등록부(이하 “국제등록부”라 한다)에 등록된 사항을 기록하고, 기록번호란에는 등록사항란에 기록한 등록사항의 기록순서에 따른 번호를 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제120조(디자인등록취소결정에 대한 심판만 해당한다) ④	제1항부터 제3항까지에서 규정한 사항 외에 국제등록디자인권에 관한 디자인등록원부의 기록에 관하여는 제 5조제3항부터 제6항까지 및 제8항의 규정을 준용한다. [본조신설 2016. 9. 22.]
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제6조(상표등록원부의 기록) ①	제2조제4항에 따른 상표등록원부의 상표등록번호란에는 상표등록번호를, 분할이전번 호란에는 분할이전번호를, 분할번호란에는 분할번호를 각각 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제6조(상표등록원부의 기록) ②	"권리란 중 등록사항란에는 다음 각 호의 사항을 기록하고, 상표란에는 등록상표를 부착하며(둘 이상의 도면 또는 사진으로 구성된 상표는 제외한다. 이 경우 상표란에는 “상표첨부란에 부착”이라고 기록한다), 소리ㆍ냄새 등 시각 적으로 인식할 수 없는 것을 기호ㆍ문자ㆍ도형 또는 그 밖의 시각적인 방법으로 사실적(寫實的)으로 표현한 상표(이 하 “비시각적 상표”라 한다)의 경우에는 “견본 없음”이라고 기록하고, 표시번호란에는 등록사항란에 기록한 등록사 항의 순위를 기록하여야 한다.<개정 2016. 9. 22.>
1. 상표권의 표시, 존속기간의 갱신(更新), 상품분류의 전환ㆍ소멸ㆍ회복 및 변경
2. 「상표법」 제117조제1항, 제118조제1항, 제119조제1항, 제120조제1항, 제121조 및 제214조제1항에 따른 심판의 확정심결
3. 「상표법」제157조제1항에 따른 재심(거절결정 불복심판에 대한 재심은 제외한다)의 확정심결
4. 「상표법」 제162조제1항에 따른 특허법원의 확정판결
5. 「상표법」 제162조제7항에 따른 대법원의 판결"
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제6조(상표등록원부의 기록) ③	상표등록료란에는 분할납부 여부, 납부 회차(해당 기간), 상표등록료 금액 및 납부연월일을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제6조(상표등록원부의 기록) ④	상표권자란의 등록사항란에는 상표권자, 상표권의 이전, 상표권 처분의 제한 또는 상표권을 목적으로 하는 질권 에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제6조(상표등록원부의 기록) ⑤	전용사용권자란의 등록사항란에는 전용사용권과 전용사용권을 목적으로 하는 질권에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제6조(상표등록원부의 기록) ⑥	통상사용권자란의 등록사항란에는 통상사용권과 통상사용권을 목적으로 하는 질권에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제6조(상표등록원부의 기록) ⑦	상표등록원부의 순위번호란에는 등록사항란에 기록한 등록사항의 순위번호를 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제6조(상표등록원부의 기록) ⑧	상표첨부란에는 등록상표(둘 이상의 도면 또는 사진으로 구성된 상표로 한정한다)를 부착하여야 한다. 특허권 등의 등록령 시행규칙
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제6조(상표등록원부의 기록) ⑨	상표등록원부의 매수는 그 상표등록원부 중앙의 아랫부분에 숫자로 표기하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제7조(국제등록기초상표권에 관한 상표등록원부의 기록) ①	제2조제5항에 따른 국제등록기초상표권에 관한 상표등록 원부의 국제등록번호란에는 국제등록번호를 기록하고, 분할이전국제등록번호란에는 분할이전국제등록번호를 기록 하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제7조(국제등록기초상표권에 관한 상표등록원부의 기록) ②	"권리란 중 등록사항란에는 다음 각 호의 사항을 기록하고, 상표란에는 등록상표를 부착하며(둘 이상의 도면 또는 사진으로 구성된 상표는 제외한다. 이 경우 상표란에는 “상표첨부란에 부착”이라고 기록한다), 비시각적 상표인 경 우에는 “견본 없음”이라고 기록하고, 표시번호란에는 등록사항란에 기록한 등록사항의 순위를 기록하여야 한다.<개 정 2016. 9. 22.>
1. 국제등록기초상표권의 표시
2. 「상표법」 제117조제1항, 제119조제1항, 제120조제1항 및 제121조에 따른 심판의 확정심결
3. 「상표법」 제157조제1항에 따른 재심(거절결정 불복심판에 대한 재심은 제외한다)의 확정심결
4. 「상표법」 제162조제1항에 따른 특허법원의 확정판결
5. 「상표법」 제162조제7항에 따른 대법원의 판결"
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제7조(국제등록기초상표권에 관한 상표등록원부의 기록) ③	국제등록사항기록란의 등록사항란에는 국제등록기초상표권에 관하여 「표장의 국제등록에 관한 마드리드협정에 대한 의정서」
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제2조(1) ④	제1항부터 제3항까지에서 규정한 사항 외에 국제등록기초상표권에 관한 상표등록원부의 기록에 관하여는 제 6조제4항부터 제9항까지의 규정을 준용한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제8조(신탁원부의 기록) ①	제2조제1항부터 제4항까지의 규정에 따른 특허신탁원부, 실용신안신탁원부, 디자인신탁원 부 및 상표신탁원부(이하 “신탁원부”라 한다)의 신탁번호란에는 최초에 등록한 순위에 따라 신탁번호를 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제8조(신탁원부의 기록) ②	신탁원부의 신탁권리란 중 표시란에는 신탁재산에 속하는 특허권ㆍ실용신안권ㆍ디자인권 및 상표권(이하 “특허 권등”이라 한다)이나 특허권등에 관한 권리의 표시를 하고, 그 변경 및 소멸과 권리 신탁의 종료를 기록하며, 표시번 호에는 표시란에 기록한 등록사항의 순위를 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제8조(신탁원부의 기록) ③	신탁원부의 사항부란 중 등록사항란에는 영 제51조제1항 각 호의 사항과 그 변경을 기록하고, 순위번호란에는 등록사항란에 기록한 등록사항의 순위를 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제9조(부속정보)	영 제10조에 따른 부속정보는 등록신청서의 접수 정보 및 등록료 납부 정보로 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제10조(등록원부의 폐쇄)	영 제12조에 따라 등록원부에 폐쇄한 사실을 기록할 때에는 그 폐쇄의 원인ㆍ취지 및 연월일 을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제11조(전자문서에 의한 제출 및 통지) ①	"등록 신청 시 제출하는 서류는 전자문서로 제출할 수 있다. 다만, 영 제29조 제1항 각 호 외의 부분 단서에 따른 보정요구의 취지가 서류의 원본 제출을 요구하는 것일 때에는 그러하지 아니하
다. <개정 2018. 12. 31.>"
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제11조(전자문서에 의한 제출 및 통지) ②	특허청장은 「특허법」 제28조의4제1항에 따라 전자문서 이용신고를 한 자 중 전자문서로 통지 또는 송달을 받으 려는 자에 대해서는 법령에 특별한 규정이 있는 경우를 제외하고는 「정보통신망 이용촉진 및 정보보호 등에 관한 법률」에 따른 정보통신망을 이용하여 통지하거나 송달할 수 있다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제12조(전자적 이미지로 작성된 첨부서류의 제출)	등록신청 시 전자문서로 서류를 제출하는 자는 첨부서류를 전자적 이미지로 변환하여 제출할 수 있다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ①	"등록 관련 신청 서식은 다음 각 호의 구분과 같다. <개정 2013. 6. 28., 2017. 11.
28.>
1. 등록명의인의 표시변경ㆍ경정등록 신청 서식: 「특허법 시행규칙」 별지 제5호서식 1의2. 등록명의인의 표시 자동변경 신청 및 철회 서식: 「특허법 시행규칙」 별지 제4호서식 또는 별지 제5호의2서식
2. 등록명의인 표시의 통합관리 신청 서식: 별지 제14호서식
3. 특허권등에 관한 권리의 전부 또는 일부의 이전등록 신청, 권리의 지분 전부 또는 일부의 이전등록 신청, 상표권 의 분할이전등록 신청 또는 분할등록 신청 서식: 별지 제15호서식
4. 전용실시권ㆍ통상실시권ㆍ전용사용권 또는 통상사용권 설정등록 신청 서식: 별지 제16호서식
5. 질권 설정등록 신청 서식: 별지 제17호서식
6. 권리의 포기, 사망, 등록의무자의 소재불명, 가등록 명의인의 등록말소에 대한 승낙, 채무변제 또는 계약해제 등 에 따른 특허권등에 관한 권리의 말소등록 신청 서식: 별지 제18호서식 6의2. 특허권등의 소멸에 따른 직권말소등록 신청 서식: 별지 제18호의2서식
7. 회복등록 신청 서식: 별지 제19호서식
8. 질권 변경등록 신청 및 실시권 및 사용권 변경등록 신청 서식: 별지 제20호서식
9. 공유지분확인등록 신청 서식: 별지 제21호서식
10. 권리의 신탁등록 신청 서식: 별지 제22호서식
11. 상표권 존속기간갱신등록 신청 서식: 별지 제23호서식"
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ②	영 제29조제1항 각 호 외의 부분 단서에 따라 보정요구를 받은 등록 신청에 대하여 그 흠결을 보완하려는 경우 에는 별지 제24호서식의 등록보정서를 특허청장에게 제출하여야 한다.<개정 2018. 12. 31.>
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ③	특허권등의 설정등록을 받으려는 자는 별지 제25호서식의 납부서를 특허청장에게 제출하여야 한다. 다만, 특허 권등의 등록결정 시 특허청장이 부여한 납부자번호(이하 “지정납부자번호”라 한다)로 등록료를 납부하는 경우에는 그러하지 아니하다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ④	특허권자, 실용신안권자 및 디자인권자가 연차등록료를 납부하려는 경우에는 별지 제25호서식의 납부서를 특허 청장에게 제출하여야 한다. 다만, 특허청장이 통보한 지정납부자번호로 「특허료 등의 징수규칙」 제8조제8항에 따 른 기간에 연차등록료를 납부하는 경우에는 그러하지 아니하다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ⑤	등록료를 보전하려는 자는 별지 제25호서식의 납부서를 특허청장에게 제출하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ⑥	상표 등록료 납부기간을 연장받으려면 별지 제26호서식의 등록료 납부기간 연장신청서를 특허청장에게 제출하 여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ⑦	특허권등에 관한 권리의 공유자가 등록원부에 지분의 확인등록을 신청하려는 경우에는 별지 제21호서식의 공유 지분확인등록 신청서를 제출하여야 한다. 이 경우 등록에 대한 이해관계가 있는 제3자가 있을 때에는 신청서에 그 승낙서나 이에 대항할 수 있는 재판의 등본을 첨부하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ⑧	"등록이 완료되거나 신청이 반려된 등록신청에 관한 첨부서류를 반환받으려는 자는 별지 제27호서식의 서류반환 요청서를 제출하여야 한다. 이 경우 3년 이내에 서류반환 요청이 없을 때에는 특허청장은 해당 서류를 폐기할 수 있
다.<개정 2016. 9. 22.>"
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ⑨	가등록을 신청하는 경우에는 해당 등록신청서에 가등록신청임을 표시하여 제출하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ⑩	상표권자는 존속기간갱신등록료를 분할납부하는 경우 두 번째를 납부할 때에는 별지 제25호서식의 납부서를 특 허청장에게 제출하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ⑪	지정상품(업무) 추가등록료를 납부하려는 자는 별지 제25호서식의 납부서를 특허청장에게 제출하여야 한다.<개 정 2017. 11. 28.>
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제13조(등록 관련 신청 서식 등) ⑫	영 제20조제2항제3호의2에 따른 특허고객번호를 부여받은 법인인 등록명의인은 특허청장이 정하는 「전자정부 법」 제9조제2항 및 제3항에 따른 전자민원창구를 통하여 등록명의인 표시의 법인 명칭 또는 영업소의 소재지에 대 한 변경을 신청할 수 있다.<신설 2013. 6. 28., 2016. 9. 22.> 특허권 등의 등록령 시행규칙
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제14조(상표권의 존속기간갱신등록 신청) ①	상표권 존속기간갱신등록을 받으려는 자는 제13조제1항제11호의 신청서 를 제출하여야 한다. 다만, 제13조제10항의 경우에는 그러하지 아니하다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제14조(상표권의 존속기간갱신등록 신청) ②	제1항에 따라 신청서를 제출하는 경우에는 「특허료 등의 징수규칙」 제5조제2항에서 정하는 존속기간갱신등록 료를 납부하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제14조(상표권의 존속기간갱신등록 신청) ③	비시각적 상표 중 냄새 상표의 존속기간갱신등록을 받으려는 자는 밀폐용기로 된 3통 이상의 냄새 견본 또는 30매 이상의 향 패치를 제출하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제2장 신청의 절차 제15조(상표권의 이전등록 신청서의 첨부서류) ①	"영 제15조제6항에서 “산업통상자원부령으로 정하는 서류”란 다음 각 호의 어느 하나에 해당하는 서류를 말한다. <개정 2013. 3. 23., 2016. 9. 22.>
1. 「상표법 조약 규칙」 또는 「상표법에 관한 싱가포르 조약 규칙」에서 정하고 있는 국제표준서식(한글로 번역된 것 만 해당한다)에 따라 작성된 양도증명서 또는 양도문서
2. 상표권의 이전을 증명하는 계약서의 사본 또는 발췌본(공증인 또는 공공기관에 의하여 인증된 것만 해당한다)"
