법률규정	항목	내용
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ③	포괄위임을 받아 특허에 관한 절차를 밟고자 하는 자는 제2항의 규정에 의한 포괄위임등록번호를 특허청 또는 특 허심판원에 제출하는 서류에 기재하여야 한다.<개정 2001. 6. 30., 2002. 2. 28.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ④	제1항에 따른 포괄위임등록사항을 변경하려는 경우에는 별지 제3호서식의 포괄위임등록 변경신청서에 포괄위 임장을 첨부하여 특허청장에게 제출하여야 한다.<신설 2010. 7. 27.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ⑤	"제1항 또는 제4항에 따라 포괄위임을 하거나 포괄위임등록사항을 변경하려는 자가 포괄위임장을 온라인 제출하 거나 전자적기록매체에 수록하여 제출하는 경우에는 다음 각 호의 어느 하나에 해당하는 방법에 따라 제출해야 한
다.<신설 2013. 1. 3., 2015. 7. 29., 2021. 6. 10.>
1. 특허청에서 제공하는 소프트웨어나 특허청 홈페이지를 이용하여 포괄위임장에 「전자서명법」 제2조제2호에 따 른 전자서명을 하여 전자문서로 제출
2. 휴대전화로 전송되는 인증번호를 입력하고, 출원인이 서명 또는 날인한 포괄위임장의 전자적 이미지를 첨부하여 제출 [본조신설 1998. 12. 31.]  제5조의3(포괄위임 원용의 제한) 제5조의2에 따른 포괄위임등록을 한 자가 특정한 사건에 대하여 포괄위임의 원용을 제한하고자 하는 경우에는 별지 제2호서식의 신고서(포괄위임원용제한의 신고구분에 한한다)를 특허청장 또는 특허 심판원장에게 제출하여야 한다. 다만, 다음 각 호의 어느 하나에 해당하는 신고서를 제출한 경우에는 그러하지 아니 하다. <개정 2006. 12. 29., 2007. 6. 29.>
1. 제5조제3항에 따라 먼저 선임된 대리인 또는 복대리인의 해임을 기재한 신고서를 제출한 경우
2. 제5조제5항에 따라 대리인 또는 복대리인을 해임하는 신고서를 제출한 경우 [본조신설 1998. 12. 31.]  제5조의4(포괄위임의 철회) 제5조의2의 규정에 의한 포괄위임등록을 한 자가 포괄위임을 철회하고자 하는 경우에는 별 지 제3호서식의 포괄위임등록 철회서를 특허청장에게 제출하여야 한다. <개정 2006. 12. 29.> [본조신설 1998. 12. 31.]"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제6조(복수당사자의 대표자 선정신고 등) ①	"법 제11조제1항 단서의 규정에 의한 대표자의 선정신고는 선임된 대표자가 별지 제2호서식의 신고서에 다음 각호의 서류를 첨부하여 특허청장 또는 특허심판원장에게 제출하되, 먼저 선임된 대표자가 있는 때에는 그 해임여부를 기재하여야 한다. <개정 1998. 2. 23., 1998. 12. 31., 2006. 12. 29.>
1. 선임 또는 해임에 관한 사항을 증명하는 서류 1통
2. 대리인에 의하여 절차를 밟는 경우에는 그 대리권을 증명하는 서류 1통"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제6조(복수당사자의 대표자 선정신고 등) ②	"제1항의 규정에 의하여 선임된 대표자의 해임을 신고하려는 자는 별지 제2호서식의 신고서에 다음 각 호의 서류 를 첨부하여 특허청장 또는 특허심판원장에게 제출하여야 한다.<신설 1993. 12. 31., 1998. 2. 23., 1998. 12. 31.,
2006. 12. 29.>
1. 신고내용을 증명하는 서류 1통
2. 대리인에 의하여 절차를 밟는 경우에는 그 대리권을 증명하는 서류 1통"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제6조(복수당사자의 대표자 선정신고 등) ③	"「특허법 시행령」(이하 “영”이라 한다) 제18조제8항에 따라 서류를 송달받기 위한 대표자를 선정하여 신고하려는 자는 별지 제2호서식의 신고서에 다음 각 호의 서류를 첨부하여 특허청장 또는 특허심판원장에게 제출하여야 한다. <신설 2011. 2. 25., 2014. 12. 30.>
1. 서류를 송달받기 위한 대표자 선임을 증명하는 서류 1통
2. 대리인에 의하여 절차를 밟는 경우에는 그 대리권을 증명하는 서류 1통 [제목개정 2014. 12. 30.] 특허법 시행규칙"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제7조(승계인의 자격 및 제3자의 허가등에 관한 증명) ①	특허청장 또는 특허심판원장은 특허를 받을 수 있는 권리를 승 계한 자가 특허에 관한 절차를 밟고자 하는 경우에 필요하다고 인정되는 때에는 그 승계인임을 증명하는 서류를 제 출하게 할 수 있다. <개정 1998. 2. 23.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제7조(승계인의 자격 및 제3자의 허가등에 관한 증명) ②	특허에 관한 절차를 밟고자 하는 자가 그 절차를 밟음에 있어서 제3자의 허가ㆍ인가ㆍ동의 또는 승낙을 필요로 하는 경우에는 이를 증명하는 서류를 특허청장 또는 특허심판원장에게 제출하여야 한다.<개정 1998. 2. 23.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제8조(증명서류의 제출) ①	"특허청장ㆍ특허심판원장 또는 심판장은 특허에 관한 절차를 밟는 자에 대한 구체적인 확인 이 필요하다고 인정되면 다음 각 호의 서류를 제출하게 할 수 있다. 다만, 특허에 관한 절차를 밟는 자가 특허고객번 호 정보에 인감 또는 서명을 등록한 경우(「특허권 등의 등록령」 제22조제1항제7호에 해당하는 경우는 제외한다)에 는 그 인감 또는 서명을 확인하는 것으로 다음 각 호의 서류의 제출명령을 갈음할 수 있다. <개정 2008. 12. 31.,
2010. 7. 27., 2019. 6. 10., 2020. 7. 1.>
1. 국적증명서(외국인인 경우에 한정한다), 그 밖에 당사자를 확인할 수 있는 서류
2. 인감증명서(작성 후 6개월 이내의 것이어야 하며, 인감증명제도가 없는 외국인인 경우에는 이에 준하는 증명서)
3. 서명에 대한 공증서 등 서명에 대한 권한을 증명할 수 있는 서류(외국인인 경우에는 본인이 서명을 하였다는 본 국 관공서의 증명서면을 포함한다)"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제8조(증명서류의 제출) ②	"제1항에도 불구하고 특허청장, 특허심판원장, 심판장은 특허에 관한 절차를 밟는 자의 주민등록표 등본ㆍ초본, 법인 등기사항증명서(법인인 경우만 해당한다) 등 「전자정부법 시행령」 제43조에 따른 공동이용 대상 행정정보에 해당하는 서류에 대해서는 같은 법 제36조제1항에 따른 행정정보의 공동이용을 통하여 확인하여야 한다. 다만, 이 를 통하여 확인할 수 없거나 다음 각 호의 어느 하나에 해당하는 경우에는 그 서류를 제출하게 할 수 있다.<신설
2010. 7. 27.>
1. 특허에 관한 절차를 밟는 자가 「전자정부법 시행령」 제43조에 따른 공동이용 대상 행정정보에 해당하는 서류(법 인 등기사항증명서는 제외한다)의 확인에 동의하지 아니하는 경우
2. 특허에 관한 절차를 밟는 자가 법인 등기사항증명서의 확인에 필요한 정보를 제공하지 아니하는 경우"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제8조(증명서류의 제출) ③	"특허청장 또는 특허심판원장은 외국인이 특허에 관한 절차를 밟을 경우 그 자가 속하는 국가가 「공업소유권보호 를 위한 파리조약」(이하 “파리조약”이라 한다)의 당사국 또는 특허에 관하여 대한민국과 상호보호할 것을 약속한 국 가가 아니면 다음 각 호의 어느 하나에 해당하는 서류를 제출하게 할 수 있다.<개정 1998. 2. 23., 2005. 2. 11., 2009.
6. 30., 2010. 7. 27.>
1. 동맹국중 1국의 영역안에 주소 또는 영업소를 가지고 있는 경우에는 이를 증명하는 서류
2. 그 외국인이 속하는 국가에서 대한민국 국민에 대하여 그 국민과 동일한 조건으로 특허권 또는 특허에 관한 권리 의 향유를 인정하는 경우에는 이를 증명하는 서류
3. 대한민국이 그 외국인에 대하여 특허권 또는 특허에 관한 권리의 향유를 인정하는 경우에는 그 외국인이 속하는 국가에서 대한민국 국민에 대하여 그 국민과 동일한 조건으로 특허권 또는 특허에 관한 권리의 향유를 인정하는 경우에 이를 증명하는 서류"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제8조(증명서류의 제출) ④	"특허청장ㆍ특허심판원장 또는 심판장은 제1항부터 제3항까지의 규정에 따라 서류의 제출을 명하는 때에는 서류 제출명령서에 의하여 제출서류명 및 그 이유를 통지하고 기간을 정하여 소명할 수 있는 기회를 주어야 한다.<신설
2001. 6. 30., 2010. 7. 27.> [제목개정 2001. 6. 30.]"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제9조(특허고객번호의 부여등) ①	"법 제28조의2제1항에서 “산업통상자원부령이 정하는 자”란 다음 각 호의 어느 하나에 해당하는 자를 말한다. <개정 2002. 2. 28., 2006. 9. 29., 2007. 12. 11., 2008. 9. 30., 2009. 6. 30., 2013. 3. 23., 2017.
2. 28.>
1. 출원인
2. 특허를 받을 수 있는 권리의 승계인
3. 심사청구인 특허법 시행규칙
4. 삭제<2006. 9. 29.>
5. 삭제<2006. 9. 29.>
6. 정정청구인
7. 우선심사신청인
8. 특허출원에 대한 정보제공인 8의2. 재심사청구인
9. 심판청구인ㆍ심판피청구인 및 심판참가인 9의2. 특허취소신청인ㆍ특허취소신청참가인
10. 특허권자
11. 전용실시권자 또는 통상실시권자
12. 질권자"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제9조(특허고객번호의 부여등) ②	법 제28조의2제1항의 규정에 의하여 특허고객번호의 부여를 신청하고자 하는 자는 별지 제4호서식의 특허고객 번호 부여신청서를 특허청장 또는 특허심판원장에게 제출하여야 한다.<개정 2002. 2. 28., 2016. 10. 4.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제9조(특허고객번호의 부여등) ③	"특허고객번호를 부여받은 자가 성명ㆍ주소(법인인 경우에는 그 명칭 및 영업소의 소재지)ㆍ서명ㆍ인감ㆍ전화번 호 등을 변경 또는 경정하려면 별지 제5호서식의 특허고객번호 정보변경(경정)신고서를 특허청장에게 제출하여야 한다.<개정 1999. 7. 1., 2001. 6. 30., 2002. 2. 28., 2006. 12. 29., 2008. 12. 31., 2016. 10. 4.>
1. 삭제<2001. 6. 30.>
2. 삭제<2001. 6. 30.>"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제9조(특허고객번호의 부여등) ④	"특허고객번호를 이중으로 부여받거나 잘못 부여받아 이를 정정하고자 하는 경우에는 별지 제5호서식의 특허고객 번호 정정신고서에 다음 각 호의 서류를 첨부하여 특허청장에게 제출하여야 한다.<개정 2006. 12. 29., 2016. 10.
4.>
1. 정정내용을 증명하는 서류 1통
2. 대리인에 의하여 절차를 밟는 경우에는 그 대리권을 증명하는 서류 1통"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제9조(특허고객번호의 부여등) ⑤	특허청장은 특허고객번호가 이중으로 부여되었거나 잘못 부여된 경우 직권으로 특허고객번호를 정정하거나 말 소할 수 있다. 이 경우 직권으로 정정하거나 말소한 사실을 특허고객번호를 부여받은 자에게 통지하여야 한다.<신 설 2009. 6. 30., 2016. 10. 4.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제9조(특허고객번호의 부여등) ⑥	제3항에도 불구하고 「주민등록법」 제16조제1항에 따라 신거주지로의 전입신고를 통하여 변경된 주소로 특허고 객번호의 주소정보를 자동 변경하려는 사람은 별지 제5호의2서식의 특허고객번호 정보 등 자동변경 신청서를 특허 청장에게 제출하여야 한다. 다만, 제2항에 따라 특허고객번호의 부여를 신청하려는 자는 별지 제4호서식의 특허고 객번호 부여신청서에 특허고객번호의 주소정보가 자동으로 변경되도록 하려는 취지를 적음으로써 별지 제5호의 2서식에 갈음할 수 있다.<신설 2013. 6. 28., 2016. 10. 4.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제9조(특허고객번호의 부여등) ⑦	제6항에 따라 특허고객번호의 주소정보 자동 변경을 신청한 자가 그 신청을 철회하려는 경우에는 별지 제5호의 2서식의 특허고객번호 정보 등 자동변경 철회서를 특허청장에게 제출하여야 한다.<신설 2013. 6. 28., 2016. 10. 4.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제9조(특허고객번호의 부여등) ⑧	"제3항에도 불구하고 법인인 출원인등은 특허청장이 정하는 「전자정부법」 제9조제2항 및 제3항에 따른 전자민 원창구를 통하여 특허고객번호의 법인 명칭 또는 영업소 소재지에 대한 변경을 신청할 수 있다.<신설 2013. 6. 28.,
2016. 10. 4.> [전문개정 1998. 12. 31.] [제목개정 2016. 10. 4.]  제9조의2(전자문서로 제출할 수 있는 서류)"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제9조(특허고객번호의 부여등) ①	"법 제28조의3제4항에 따라 특허청장 또는 특허심판원장에게 전자문서로 제출할 수 있는 서류는 다음 각 호의 것을 제외한 서류로 한다. <개정 2002. 2. 28., 2003. 12. 31., 2005. 2. 11., 2006.
12. 29., 2011. 2. 25., 2014. 12. 30.>
1. 전자문서첨부서류등 물건제출서 특허법 시행규칙
2. 삭제<2006. 12. 29.>
3. 삭제<2006. 12. 29.>
4. 정정발급신청서
5. 조약"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제2조(ⅶ) ②	삭제<2002. 2. 28.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제2조(ⅶ) ③	"제1항에도 불구하고 영 제11조에 따른 분류기준에 해당하는 국방관련 특허출원의 경우에는 전자문서로 제출할 수 없다. 다만, 영 제12조제4항에 따라 보안유지요청의 해제통지를 받거나 영 13조에 따라 비밀에서의 해제통지를 받은 경우에는 그러하지 아니하다.<신설 1999. 7. 1., 2002. 2. 28., 2005. 2. 11., 2014. 12. 30.> [본조신설 1998. 12. 31.]  제9조의3(전자문서 이용신고) 법 제28조의3에 따라 전자문서에 의하여 특허에 관한 절차를 밟으려는 자는 「전자서명 법」 제2조제2호에 따른 전자서명에 필요한 인증서를 사용하여 전산정보처리조직을 통하여 법 제28조의4제1항에 따 른 전자문서 이용신고를 해야 한다. 이 경우 전자서명에 필요한 인증서의 내용은 특허고객번호의 출원인 정보와 일 치해야 한다. <개정 2016. 10. 4., 2021. 6. 10.>
1. 삭제<2021. 6. 10.>
2. 삭제<2021. 6. 10.> [전문개정 2012. 6. 28.]  제9조의4(전자문서의 제출 등)"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제2조(ⅶ) ①	"전자문서는 특허청에서 제공하는 소프트웨어 또는 특허청 홈페이지를 이용하여 「전 자서명법」 제2조제2호에 따른 전자서명을 한 후 제출해야 한다. 다만, 국제출원의 경우에는 국제사무국에서 제공하 는 소프트웨어 또는 국제사무국 홈페이지를 이용하여 「특허협력조약 시행세칙」(이하 “조약시행세칙”이라 한다) 703에 따른 전자서명을 하여 제출해야 한다. <개정 2003. 12. 31., 2005. 2. 11., 2012. 6. 28., 2017. 9. 22., 2021. 6.
10.>"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제2조(ⅶ) ②	전자문서를 전자적기록매체에 수록하여 제출하는 경우에는 별지 제7호서식의 전자문서첨부서류등 물건제출서를 특허청장 또는 특허심판원장에게 제출하여야 한다. 이 경우 전자적기록매체에 수록하여 제출할 수 없는 서류는 전 자문서첨부서류등 물건제출서에 첨부하여 제출하여야 한다.<개정 2001. 6. 30., 2002. 2. 28., 2006. 12. 29.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제2조(ⅶ) ③	제1항의 규정에 의하여 전자문서를 제출하고자 하는 자가 그 전자문서를 기한 전에 정보통신망을 이용하여 발송 하였으나 정보통신망의 장애, 특허청이 사용하는 컴퓨터 또는 관련장치의 장애(정보통신망, 특허청이 사용하는 컴 퓨터 또는 관련장치의 유지ㆍ보수를 위하여 그 사용을 일시 중단한 경우로서 특허청장이 사전에 공지한 경우에는 이를 장애로 보지 아니한다)로 인하여 기한 내에 제출할 수 없었던 경우에는 그 장애가 제거된 날의 다음 날에 그 기한이 도래한 것으로 본다.<신설 2005. 2. 11.> [본조신설 1998. 12. 31.]  제9조의5(전자문서에 의한 첨부서류제출의 특례) 특허에 관한 절차(국제출원에 관한 절차를 제외한다)를 밟는 자가 온 라인 제출을 하는 경우 이에 첨부하여야 하는 서류중 온라인 제출시 이를 첨부하지 아니한 서류는 온라인 제출 접수 번호를 확인한 날부터 3일이내에 별지 제7호서식의 전자문서첨부서류등 물건제출서에 첨부하여 서면으로 제출하여 야 한다. <개정 2002. 2. 28., 2005. 2. 11., 2006. 12. 29.> [본조신설 1998. 12. 31.]  제9조의6(온라인 제출방법) 온라인 제출을 하려는 자는 「전자서명법」 제2조제2호에 따른 전자서명에 필요한 인증서를 사용하여 제출해야 한다. <개정 2021. 6. 10.> 특허법 시행규칙 [전문개정 2012. 6. 28.]  제9조의7(동시제출의 특례)
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제2조(ⅶ) ①	법령의 규정에 의하여 동시에 하도록 되어 있는 2이상의 절차를 온라인 제출로 하는 경 우에는 연속하여 입력하여야 한다.
