법률규정	항목	내용
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제8조(산업재산정책국) ②	산업재산정책국에 산업재산정책과, 산업재산활용과, 산업재산인력과, 지역산업재산과, 산업재산창출전략팀 및 아이디어경제혁신팀을 두며, 각 과장은 부이사관ㆍ과학기술서기관 또는 서기관으로 보하고, 각 팀장은 과학기술서 기관ㆍ서기관ㆍ공업사무관ㆍ농업사무관ㆍ임업사무관ㆍ수의사무관ㆍ해양수산사무관ㆍ기상사무관ㆍ보건사무관ㆍ 의료기술사무관ㆍ의무사무관ㆍ약무사무관ㆍ환경사무관ㆍ항공사무관ㆍ시설사무관ㆍ전산사무관ㆍ방송통신사무관 ㆍ행정사무관 또는 사서사무관으로 보한다.<개정 2015. 1. 6., 2019. 11. 1., 2022. 7. 13., 2023. 8. 30.>
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제8조(산업재산정책국) ③	"산업재산정책과장은 다음 사항을 분장한다.<개정 2015. 1. 6., 2015. 12. 30., 2019. 3. 26., 2019. 11. 1., 2020. 12.
29., 2022. 3. 4.> 특허청과 그 소속기관 직제 시행규칙
1. 산업재산권제도에 관한 정책의 수립ㆍ종합 및 조정
2. 산업재산권제도의 운영에 관한 기본계획의 수립ㆍ시행
3. 산업재산권 창출ㆍ활용의 촉진을 위한 기본시책의 수립
4. 국내외 산업재산권 정책동향 조사 및 산업재산권 연구기반의 조성
5. 삭제<2015. 1. 6.>
6. 한국발명진흥회 및 한국지식재산연구원 등 산하단체에 대한 지도ㆍ감독
7. 산업재산권의 공유 및 상호 사용의 촉진을 위한 지원정책의 수립ㆍ추진
8. 삭제<2019. 11. 1.>
9. 삭제<2019. 11. 1.>
10. 삭제<2022. 3. 4.>
11. 특허권의 수용 및 강제실시에 관한 사항
12. 직무발명 활성화를 위한 시책의 수립ㆍ추진
13. 그 밖에 국내 다른 과 및 팀의 소관에 속하지 아니하는 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제8조(산업재산정책국) ④	"산업재산활용과장은 다음 사항을 분장한다.<개정 2015. 1. 6., 2016. 5. 17., 2019. 11. 1., 2020. 3. 31., 2020. 12.
29., 2022. 3. 4., 2022. 12. 23.>
1. 삭제<2022. 12. 23.>
2. 삭제<2022. 12. 23.>
3. 삭제<2022. 12. 23.>
4. 산업재산권 관련 금융의 활성화 4의2. 담보 산업재산권 매입ㆍ활용 사업의 관리ㆍ운영 4의3. 산업재산권 금융 관련 유관기관과의 협력 4의4. 발명 등의 평가 관련 제도의 수립ㆍ운영 4의5. 발명 등의 평가에 대한 신뢰성 제고 추진
5. 중소기업투자 모태조합 특허계정의 관리 5의2. 산업재산권 투자활성화 정책의 수립
6. 산업재산권 서비스업의 육성에 관한 사항
7. 삭제<2022. 3. 4.>
8. 특허공제사업의 관리ㆍ운영
9. 그 밖에 산업재산권의 활용에 관한 사항
10. 삭제<2015. 1. 6.>
11. 삭제<2015. 1. 6.>
12. 삭제<2015. 1. 6.>"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제8조(산업재산정책국) ⑤	"산업재산인력과장은 다음 사항을 분장한다.<개정 2019. 11. 1., 2022. 3. 4.>
1. 산업재산인력 양성 및 활용시책의 수립ㆍ시행
2. 산업재산인력 양성 관련 국내외 제도 및 정책의 조사ㆍ연구
3. 산업재산인력에 관한 수급실태 및 통계의 조사ㆍ분석
4. 산업계ㆍ학계 및 연구계 인력에 대한 산업재산권 관련 교육
5. 변리사 관련 법령 및 제도의 운영
6. 변리사의 등록 및 자격관리와 변리사 시험계획의 수립ㆍ시행
7. 대한변리사회에 대한 지도ㆍ감독
8. 변리사자격ㆍ징계위원회의 운영
9. 발명교육 진흥 및 확산을 위한 계획의 수립ㆍ시행
10. 발명영재의 발굴ㆍ육성을 위한 계획의 수립ㆍ시행 특허청과 그 소속기관 직제 시행규칙
11. 발명교육프로그램의 연구ㆍ개발 및 활용ㆍ보급
12. 학생발명교육사업에 대한 한국발명진흥회 등 유관단체와의 협력에 관한 사항
13. 삭제<2022. 12. 23.>"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제8조(산업재산정책국) ⑥	"지역산업재산과장은 다음 사항을 분장한다.<개정 2019. 11. 1.>
1. 지역의 산업재산권 창출ㆍ활용을 위한 기반조성
2. 지방자치단체와의 산업재산권 관련 업무협력을 위한 시책의 수립ㆍ시행
3. 기업체의 산업재산경영 지원시책의 수립ㆍ시행
4. 기업체의 산업재산경영 실태의 조사ㆍ분석 및 통계 관리
5. 기업체의 산업재산경영 활성화를 위한 유관단체 및 세계지식재산권기구(WIPO) 등과의 협력에 관한 사항
6. 외국의 산업재산경영 지원제도 및 운영실태 조사ㆍ분석 6의2. 발명에 대한 인식제고 및 발명장려를 위한 행사 개최 6의3. 삭제<2022. 12. 23.> 6의4. 발명인의 전당 운영
7. 그 밖에 산업재산경영 활성화 및 지역의 산업재산권 지원에 관한 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제8조(산업재산정책국) ⑦	"산업재산창출전략팀장은 다음 사항을 분장한다.<신설 2015. 1. 6., 2016. 5. 17., 2020. 12. 29., 2022. 12. 23.,
2024. 6. 13.>
1. 산업재산 정보 활용을 통한 산업재산권 창출 기본계획의 수립ㆍ추진
2. 산업재산 정보 분석에 기반한 정부 연구개발사업 지원시책의 수립ㆍ시행
3. 산ㆍ학ㆍ연의 연구개발 과정에서 특허전략 수립을 위한 지원 시책의 수립ㆍ시행
4. 표준특허 창출ㆍ활용에 관한 지원정책의 수립ㆍ추진
5. 표준특허 전문 인력 양성 및 통계ㆍ정보서비스 제공 등 표준특허 창출기반 조성
6. 「반도체집적회로의 배치설계에 관한 법률」에 따른 배치설계권 제도의 운영에 관한 사항
7. 반도체집적회로 배치설계의 기술향상 및 권리화를 위한 지원시책의 수립ㆍ추진
8. 삭제<2022. 3. 4.>
9. 삭제<2019. 11. 1.>
10. 삭제<2015. 12. 30.>
11. 한국특허전략개발원에 대한 지도ㆍ감독
12. 정부 연구개발사업 특허성과의 조사ㆍ분석 및 진단에 관한 사항
13. 산업재산진단기관의 지정 및 운영에 관한 사항
14. 산업재산 정보와 관련된 대용량의 정형 또는 비정형 데이터(이하 “산업재산 빅데이터”라 한다)의 분석ㆍ활용에 관한 계획의 수립ㆍ시행
15. 산업재산 빅데이터의 분석ㆍ활용에 대한 인식 제고 및 홍보
16. 그 밖에 산업재산권 창출전략 및 반도체집적회로의 배치설계에 관한 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제8조(산업재산정책국) ⑧	"아이디어경제혁신팀장은 다음 사항을 분장한다.<신설 2022. 7. 13., 2022. 12. 23.>
1. 아이디어 경제 활성화 및 특허기술 거래ㆍ사업화 정책의 수립ㆍ시행
2. 아이디어 및 특허기술 거래의 촉진
3. 특허기술 사업화의 촉진
4. 대학ㆍ공공연구기관의 산업재산권 관리역량 강화 및 기술이전ㆍ사업화 지원
5. 국유특허권의 처분ㆍ관리 및 활용 촉진
6. 여성발명활동의 진흥
7. 우수 발명품 및 우수특허제품의 판로개척 지원
8. 아이디어 창출ㆍ활용ㆍ보호 및 특허기술 거래ㆍ사업화 촉진을 위한 제도 연구
9. 아이디어 및 특허기술 거래ㆍ사업화에 대한 인식제고, 홍보, 민관협력 등 진흥기반 조성 특허청과 그 소속기관 직제 시행규칙
10. 그 밖에 아이디어 경제 활성화 및 특허기술 거래ㆍ사업화 지원에 관한 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제9조(산업재산보호협력국) ①	산업재산보호협력국장은 고위공무원단에 속하는 일반직공무원으로 보하되, 그 직위의 직무등급은 나등급으로 한다.
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제9조(산업재산보호협력국) ②	"산업재산보호협력국에 산업재산보호정책과, 산업재산분쟁대응과, 기술디자인특별사법경찰과, 상표특별사법경찰 과, 국제협력과 및 부정경쟁조사팀을 두되, 각 과장은 부이사관ㆍ과학기술서기관 또는 서기관으로 보하고, 부정경 쟁조사팀장은 과학기술서기관ㆍ서기관ㆍ공업사무관ㆍ농업사무관ㆍ임업사무관ㆍ수의사무관ㆍ해양수산사무관ㆍ기 상사무관ㆍ보건사무관ㆍ의료기술사무관ㆍ의무사무관ㆍ약무사무관ㆍ환경사무관ㆍ항공사무관ㆍ시설사무관ㆍ전산 사무관ㆍ방송통신사무관ㆍ행정사무관 또는 사서사무관으로 보한다.<개정 2015. 1. 6., 2019. 11. 1., 2021. 7. 27.,
2023. 8. 30., 2025. 2. 28.>"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제9조(산업재산보호협력국) ③	"산업재산보호정책과장은 다음 사항을 분장한다.<개정 2021. 7. 27., 2022. 12. 23., 2024. 6. 13.>
1. 산업재산권 보호 정책의 수립ㆍ총괄ㆍ조정
2. 「부정경쟁방지 및 영업비밀보호에 관한 법률」 제2조제1호에 따른 부정경쟁행위의 방지 및 같은 조 제2호에 따른 영업비밀의 보호와 관련된 정책의 수립ㆍ총괄ㆍ조정
3. 산업재산권 보호 관련 법령ㆍ제도의 운영
4. 부정경쟁방지 및 영업비밀보호 관련 법령ㆍ제도의 운영
5. 부정경쟁방지 및 영업비밀보호에 관한 기본계획ㆍ시행계획 수립ㆍ시행 5의2. 산업재산권 보호, 부정경쟁방지 및 영업비밀보호를 위한 산업재산 정보의 분석 및 이용ㆍ제공에 관한 사항 5의3. 청 소관 방첩업무 및 방첩 유관기관과의 협력 업무
6. 산업재산권 보호, 부정경쟁방지 및 영업비밀보호를 위한 교육ㆍ홍보
7. 산업재산권 보호, 부정경쟁방지 및 영업비밀보호에 관한 국내외 실태 조사ㆍ분석 및 제도 조사ㆍ연구
8. 산업재산권 보호, 부정경쟁방지 및 영업비밀보호 관련 유관기관과의 협력
9. 한국지식재산보호원에 대한 지도ㆍ감독 9의2. 산업재산권 분쟁조정에 관한 사항 9의3. 공익변리사 특허상담센터의 운영
10. 그 밖에 국내 다른 과 및 팀의 소관에 속하지 않는 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제9조(산업재산보호협력국) ④	"산업재산분쟁대응과장은 다음 사항을 분장한다.<개정 2021. 7. 27.>
1. 산업재산권 및 영업비밀 분쟁에 관한 시책 수립ㆍ시행
2. 산업재산권 및 영업비밀 분쟁의 예방ㆍ대응 지원
3. 산업재산권 및 영업비밀 분쟁 관련 정보시스템 구축ㆍ운영
4. 영업비밀 보호 지원에 관한 시책 수립ㆍ시행
5. 영업비밀 원본증명제도 운영
6. 해외 산업재산권 보호 기반 구축에 관한 사항
7. 해외 산업재산권 보호 관련 교육ㆍ홍보
8. 삭제<2022. 12. 23.>
9. 삭제<2024. 6. 13.>
10. 해외지식재산센터의 운영
11. 그 밖에 산업재산권 및 영업비밀 분쟁의 예방ㆍ대응에 관한 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제9조(산업재산보호협력국) ⑤	"기술디자인특별사법경찰과장은 다음 사항을 분장한다.<신설 2021. 7. 27., 2024. 6. 13.>
1. 「사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률」제6조제35호의2에 규정된 범죄(이하 “기술디자 인침해범죄”라 한다) 관련 수사계획의 수립ㆍ시행
2. 기술디자인침해범죄에 대한 수사
3. 기술디자인침해범죄 수사 관련 국내ㆍ외 정보의 수집ㆍ분석 및 관리 특허청과 그 소속기관 직제 시행규칙
4. 기술디자인침해범죄 수사사건 상담ㆍ접수 및 통계 분석ㆍ관리
5. 기술디자인침해범죄 수사 관련 법령ㆍ제도 운영
6. 기술디자인침해범죄 수사를 위한 유관기관 협력
7. 전자적 증거의 수집 및 분석
8. 수사 관련 정보시스템 개발 및 운영 8의2. 기술디자인침해 단속 지원사업 운영
9. 기술디자인침해범죄 예방 및 계도를 위한 교육ㆍ홍보
10. 그 밖에 기술디자인침해범죄 수사에 관한 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제9조(산업재산보호협력국) ⑥	"상표특별사법경찰과장은 다음 사항을 분장한다.<개정 2021. 7. 27.>
1. 「사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률」제6조제35호에 규정된 범죄(이하 “상표침해범죄 ”라 한다) 관련 수사계획의 수립ㆍ시행
2. 상표침해범죄에 대한 수사
3. 상표침해범죄 수사 관련 국내ㆍ외 정보의 수집ㆍ분석 및 관리
4. 상표침해범죄 수사사건 상담ㆍ접수 및 통계 분석ㆍ관리
5. 상표침해범죄 수사 관련 법령ㆍ제도 운영
6. 상표침해범죄 수사를 위한 유관기관 협력
7. 온라인 위조상품에 대한 감시 및 시정조치 등에 관한 사항
8. 위조상품 유통방지를 위한 민관협의체 운영 및 협력
9. 위조상품 단속 지원사업 운영 및 위조상품 신고 포상금 제도 운영
10. 상표침해범죄 예방 및 계도를 위한 교육ㆍ홍보
11. 그 밖에 상표침해범죄 수사에 관한 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제9조(산업재산보호협력국) ⑦	"국제협력과장은 다음 사항을 분장한다.<개정 2025. 2. 28.>
1. 산업재산권, 부정경쟁방지 및 영업비밀보호 관련 국제협력(외국 정부ㆍ기관, 국제기구 등과의 다자 및 양자, 통상 등 협력을 포함한다. 이하 이 항에서 같다) 총괄
2. 산업재산권, 부정경쟁방지 및 영업비밀보호 관련 국제협력에 관한 종합계획의 수립ㆍ조정 및 추진
3. 산업재산권, 부정경쟁방지 및 영업비밀보호 관련 남북협력에 관한 정책의 수립 및 추진
4. 국가 간 특허심사결과의 상호 활용ㆍ협력에 관한 사항
5. 산업재산권, 부정경쟁방지 및 영업비밀보호 관련 국제조약 및 협정에 관한 사항
6. 산업재산권, 부정경쟁방지 및 영업비밀보호 관련 자유무역협정을 포함하는 통상협상 및 이를 위한 조사ㆍ연구에 관한 사항
7. 세계지식재산기구 한국신탁기금에 관한 사항
8. 산업재산권, 부정경쟁방지 및 영업비밀보호 관련 행정 서비스의 해외 수출
9. 산업재산권, 부정경쟁방지 및 영업비밀보호에 관한 개발도상국 및 최빈국과의 협력사업에 관한 사항
10. 산업재산권, 부정경쟁방지 및 영업비밀보호 인력의 국제기구 진출 및 외국 정부ㆍ기관 관련 업무의 총괄
11. 산업재산권, 부정경쟁방지 및 영업비밀보호 분야 해외 주재관ㆍ파견관 관리 및 활동 지원
12. 공무 국외출장 관리 및 지원
13. 산업재산권, 부정경쟁방지 및 영업비밀보호 관련 국제동향ㆍ정보의 수집 및 관리
14. 산업재산권, 부정경쟁방지 및 영업비밀보호 관련 해외 홍보, 민원대응 및 고객 지원
15. 그 밖에 산업재산권, 부정경쟁방지 및 영업비밀보호 관련 국제협력에 관한 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제9조(산업재산보호협력국) ⑧	삭제<2025. 2. 28.>
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제9조(산업재산보호협력국) ⑨	"부정경쟁조사팀장은 다음 사항을 분장한다.<신설 2021. 7. 27.>
1. 「부정경쟁방지 및 영업비밀보호에 관한 법률」제2조제1호에 따른 부정경쟁행위(이하 “부정경쟁행위”라 한다) 관 련 조사계획의 수립ㆍ시행 특허청과 그 소속기관 직제 시행규칙
2. 부정경쟁행위에 대한 조사 및 시정권고 등 행정조치에 관한 사항
3. 부정경쟁행위 조사사건 상담ㆍ접수 및 통계 분석ㆍ관리
4. 부정경쟁행위 조사 관련 법령ㆍ제도 운영
5. 유관기관 간 공동 행정조사 및 기술판단지원에 관한 사항
6. 부정경쟁방지를 위한 지방자치단체 교육ㆍ지원 등 유관기관 협력
7. 부정경쟁방지를 위한 제도ㆍ판례 및 조사 실무ㆍ사례 등 연구
8. 부정경쟁행위 예방ㆍ계도를 위한 교육ㆍ홍보
9. 산업재산권 표시와 관련된 제도 운영 및 지도 등에 관한 사항
10. 그 밖에 부정경쟁행위 조사에 관한 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제10조(산업재산정보국) ①	산업재산정보국장은 고위공무원단에 속하는 일반직공무원으로 보하되, 그 직위의 직무등급 은 나등급으로 한다. <개정 2023. 4. 11.>
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제10조(산업재산정보국) ②	"산업재산정보국에 산업재산정보정책과, 산업재산정보시스템과, 산업재산데이터관리과, 산업재산출원과, 산업재 산등록과 및 산업재산국제출원과를 두되, 각 과장은 부이사관ㆍ과학기술서기관 또는 서기관으로 보한다.<개정
2015. 12. 30., 2023. 4. 11., 2023. 8. 30.>"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제10조(산업재산정보국) ③	"산업재산정보정책과장은 다음 사항을 분장한다.<개정 2024. 6. 13.>
1. 산업재산 정보화 정책의 수립ㆍ총괄 및 조정
2. 산업재산 정보화 관련 법령ㆍ제도의 운영 및 연구ㆍ개선
3. 산업재산 정보의 관리 및 활용 촉진에 관한 기본계획ㆍ시행계획의 수립ㆍ시행
4. 산업재산 정보 수요 및 활용 실태 조사ㆍ분석
5. 산업재산 정보화 추진과 관련된 각종 위원회의 구성ㆍ운영
6. 산업재산 분류정보와 다른 분야 분류정보의 연계에 관한 사항
7. 산업재산 정보화 기술의 개발ㆍ연구ㆍ분석ㆍ평가 및 표준화에 관한 사항
8. 산업재산과 관련된 통계의 기획ㆍ조사ㆍ작성ㆍ분석ㆍ보급ㆍ활용에 관한 총괄 및 통계시스템의 구축ㆍ운영
9. 지식재산통계연보 등 특허청 연보의 발간ㆍ배포
10. 산업재산 정보의 분석ㆍ활용 시스템 구축ㆍ운영 및 인프라 구축
11. 산업재산 정보의 수집ㆍ가공 및 제공
12. 산업재산 정보의 이용ㆍ제공에 따른 보안지침의 제정 및 관리
13. 산업재산 정보의 중요성에 대한 인식 제고 및 저변 확대에 관한 사항
14. 산업재산 정보화 관련 교육 및 홍보
15. 산업재산 고객서비스에 관한 정책의 수립ㆍ종합 및 조정
16. 산업재산 수수료 관련 업무의 총괄ㆍ조정
17. 산업재산 관련 민원(국민제안을 포함한다) 제도의 총괄ㆍ운영
18. 「청원법」에 따른 청 소관 청원제도의 운영 및 관리
19. 산업재산 정보화에 관한 국제협력 계획의 수립ㆍ조정 및 그 밖에 산업재산 정보화 관련 국제협력에 관한 사항
20. 산업재산 정보화 국제연계시스템의 연구ㆍ개발 및 운영
21. 산업재산 정보 시스템의 해외 확산에 관한 사항
22. 산업재산 정보의 국가 간 교환계획의 수립ㆍ조정
23. 산업재산 정보화 관련 국제표준 등의 동향 조사 및 대책 수립ㆍ추진
24. 청 내 공공데이터의 제공 및 이용 활성화에 관한 계획의 수립ㆍ추진 및 평가 등 총괄
25. 청 내 데이터기반행정 활성화를 위한 계획의 수립ㆍ추진 및 데이터 관리ㆍ개방 등 총괄
26. 한국특허정보원에 대한 지도ㆍ감독
27. 그 밖에 국 내 다른 과의 소관에 속하지 않는 사항 특허청과 그 소속기관 직제 시행규칙"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제10조(산업재산정보국) ④	"산업재산정보시스템과장은 다음 사항을 분장한다.<개정 2015. 12. 30., 2019. 11. 1., 2021. 7. 27., 2023. 4. 11.,
2024. 6. 13.>
1. 산업재산 정보 시스템 개발ㆍ운영 계획의 수립ㆍ조정
2. 산업재산 정보 시스템의 개발ㆍ연구ㆍ유지 및 관리
3. 산업재산 정보 시스템의 개발ㆍ운영과 관련된 외주용역 관리
4. 산업재산 정보 시스템의 개발과 관련된 시스템의 설계를 위한 기술조사ㆍ분석 및 평가
5. 산업재산 정보 시스템의 개발과 관련된 기반기술 및 규격의 검토
6. 산업재산 정보 시스템에 대한 사용자 교육 및 지원
7. 업무절차의 재설계에 따른 산업재산 정보 시스템의 개발과 관련된 제도의 정비
8. 산업재산 정보화를 위한 데이터 통신망의 구축ㆍ유지 및 관리
9. 전산장비시설 등 전산자원의 운영에 관한 계획의 수립ㆍ조정
10. 전산장비시설 등 전산자원의 구매ㆍ운영ㆍ유지 및 관리
11. 전산장비시설 등 전산자원의 운영과 관련된 외주용역의 관리
12. 전산장비시설 등 전산자원의 사용에 관한 지원
13. 전산장비시설 등 전산자원 운영에 관한 국가정보자원관리원과의 업무협의 및 조정
14. 상용 소프트웨어의 설치ㆍ운영ㆍ유지 및 관리
15. 특허청 홈페이지 및 지식관리시스템의 운영 및 관리
16. 산업재산의 출원ㆍ등록ㆍ심판 및 그 밖의 절차에서 제출 또는 생성된 문서의 전자화 및 문서전자화기관의 운영
17. 산업재산 정보 보안업무에 관한 계획의 수립ㆍ시행
18. 산업재산 관련 개인정보보호제도에 관한 계획의 수립ㆍ시행
19. 그 밖에 산업재산 정보 시스템의 구축ㆍ운영에 관한 사항"
